lambda,accuracy,cost
0.0,0.95,0.0006210266666666665
0.5,0.95,0.0004525733333333333
1.0,0.95,0.0004525733333333333
1.5,0.95,0.0004525733333333333
2.0,0.95,0.0004525733333333333
2.5,0.95,0.0004525733333333333
3.0,0.95,0.0004525733333333333
3.5,0.95,0.0004525733333333333
4.0,0.95,0.0004525733333333333
4.5,0.95,0.0004525733333333333
5.0,0.95,0.0004525733333333333
5.5,0.95,0.0004525733333333333
6.0,0.95,0.0004525733333333333
6.5,0.95,0.0004525733333333333
7.0,0.95,0.0004525733333333333
7.5,0.95,0.0004525733333333333
8.0,0.95,0.0004525733333333333
8.5,0.95,0.0004525733333333333
9.0,0.95,0.0004525733333333333
9.5,0.95,0.0004525733333333333
10.0,0.95,0.0004525733333333333
15.0,0.95,0.0004525733333333333
20.0,0.95,0.0004525733333333333
25.0,0.95,0.0004525733333333333
30.0,0.95,0.0004525733333333333
35.0,0.95,0.0004525733333333333
40.0,0.95,0.0004525733333333333
45.0,0.95,0.0004525733333333333
50.0,0.95,0.0004525733333333333
55.0,0.9333333333333333,0.0004075158333333334
60.0,0.9333333333333333,0.00034006499999999996
65.0,0.9333333333333333,0.00034006499999999996
70.0,0.9333333333333333,0.00034006499999999996
75.0,0.9333333333333333,0.00034006499999999996
80.0,0.9333333333333333,0.00034006499999999996
85.0,0.9333333333333333,0.00034006499999999996
90.0,0.9333333333333333,0.00034006499999999996
95.0,0.9333333333333333,0.00034006499999999996
100.0,0.9333333333333333,0.00034006499999999996
150.0,0.9333333333333333,0.0003308458333333333
200.0,0.9333333333333333,0.000206715
250.0,0.9,0.0001476366666666667
300.0,0.9,9.51525e-05
350.0,0.8833333333333333,5.978166666666668e-05
400.0,0.8833333333333333,5.978166666666668e-05
450.0,0.8833333333333333,5.978166666666668e-05
500.0,0.8833333333333333,5.174166666666667e-05
550.0,0.8833333333333333,4.6754166666666674e-05
600.0,0.8833333333333333,4.6754166666666674e-05
650.0,0.8833333333333333,4.6754166666666674e-05
700.0,0.8833333333333333,4.6754166666666674e-05
750.0,0.8833333333333333,4.6754166666666674e-05
800.0,0.8833333333333333,4.6754166666666674e-05
850.0,0.8833333333333333,4.6754166666666674e-05
900.0,0.8833333333333333,4.6754166666666674e-05
950.0,0.8833333333333333,3.5025833333333346e-05
1000.0,0.8833333333333333,3.5025833333333346e-05
