lambda,accuracy,cost
0.0,0.95,0.0004232041666666667
0.5,0.95,0.0003129450000000001
1.0,0.95,0.0003129450000000001
1.5,0.95,0.0003129450000000001
2.0,0.95,0.0003129450000000001
2.5,0.95,0.0003129450000000001
3.0,0.95,0.0003129450000000001
3.5,0.95,0.0003129450000000001
4.0,0.95,0.0003129450000000001
4.5,0.95,0.0003129450000000001
5.0,0.95,0.0003129450000000001
5.5,0.95,0.0003129450000000001
6.0,0.95,0.0003129450000000001
6.5,0.95,0.0003129450000000001
7.0,0.95,0.0003129450000000001
7.5,0.95,0.0003129450000000001
8.0,0.95,0.0003129450000000001
8.5,0.95,0.0003129450000000001
9.0,0.95,0.0003129450000000001
9.5,0.95,0.0003129450000000001
10.0,0.95,0.0003129450000000001
15.0,0.95,0.0003129450000000001
20.0,0.95,0.0003129450000000001
25.0,0.95,0.0003129450000000001
30.0,0.95,0.0003129450000000001
35.0,0.95,0.0003129450000000001
40.0,0.95,0.0003129450000000001
45.0,0.95,0.0003129450000000001
50.0,0.95,0.0003129450000000001
55.0,0.95,0.0003129450000000001
60.0,0.95,0.0003129450000000001
65.0,0.95,0.0003129450000000001
70.0,0.95,0.0003129450000000001
75.0,0.95,0.0003129450000000001
80.0,0.95,0.0003129450000000001
85.0,0.95,0.0003129450000000001
90.0,0.95,0.0003129450000000001
95.0,0.95,0.0003129450000000001
100.0,0.95,0.0003129450000000001
150.0,0.95,0.0003129450000000001
200.0,0.9333333333333333,0.00021320333333333335
250.0,0.9333333333333333,0.00021320333333333335
300.0,0.9333333333333333,0.00016786750000000002
350.0,0.9166666666666666,0.00012803166666666666
400.0,0.9,7.151583333333332e-05
450.0,0.9,6.301000000000001e-05
500.0,0.9,6.301000000000001e-05
550.0,0.8833333333333333,5.8046666666666674e-05
600.0,0.8833333333333333,5.1217499999999995e-05
650.0,0.8833333333333333,5.1217499999999995e-05
700.0,0.8833333333333333,5.1217499999999995e-05
750.0,0.8833333333333333,5.1217499999999995e-05
800.0,0.8833333333333333,5.1217499999999995e-05
850.0,0.8833333333333333,5.1217499999999995e-05
900.0,0.8833333333333333,5.1217499999999995e-05
950.0,0.8833333333333333,3.948916666666667e-05
1000.0,0.8833333333333333,3.5417500000000004e-05
